book,author,year,publisher
"Harold et Maude","Colin Higgins","1984","Gallimard"
"Night","Alan Rodgers","1991","Spectra Books"
"Bad Jobs: My Last Shift at Albert Wong\'s Pagoda and Other Ugly Tales of the Workplace","Carellin Brooks","1998","Arsenal Pulp Press"
"Gentle Ben","Walt Morey","1992","Puffin Books"
"Boone\'S Lick","Larry McMurtry","2000","Simon &amp; Schuster"
"Pigs in Heaven","Barbara Kingsolver","1999","Perennial"
"Judgment in Death","J. D. Robb","2004","Berkley Publishing Group"
"Black Album","Hanif Kureishi","2001","Faber &amp; Faber Ltd"
"Des fleurs pour algernon","Daniel Keyes","2001","J\'ai lu"
"The Discoverers","Daniel Joseph Boorstin","1983","Random House Trade"
"Saints Rest","Thomas Gifford","1997","Bantam Books"
"Mrs. Pollifax Unveiled","Dorothy Gilman","2000","Ballantine Books"
"Full Circle","Karen Young","1998","Mira"
"To Have and to Hold","Charlene Raddon","1997","Zebra Books"
"Lambs of God","Marele Day","1998","Riverhead Books"
"For Kicks","Dick Francis","1999","Sagebrush Bound"
"Ten, Nine, Eight","Molly Bang","1983","Scholastic Inc."
"Bride of the Wind","Stephanie Blake","1984","Jove Books"
"Brothers Karamazov","Fedor Dostoevsky","1994","Signet Classics"
"Peace Like a River","Leif Enger","2001","Grove/Atlantic"
"The Wishsong of Shannara","Terry Brooks","1992","Del Rey Books"
"Circle Round: Raising Children in Goddess Traditions","Starhawk","2000","Bantam"
"Burnt Sienna","David Morrell","2000","Warner Books"
"The Crush","Sandra Brown","2002","Simon &amp; Schuster Audio"
"Killing Mister Watson","Peter Matthiessen","1990","Random House Inc"
"Suspicion of Guilt","Barbara Parker","1996","Signet Book"
"Les Recres Du Petit Nicolas","Jean-Jacques Sempe","1997","Continental Book Co Inc"
"The Last Enchantment","Mary Stewart","1990","Fawcett Books"
"Goodbye Tsugumi","Banana Yoshimoto","2002","Grove Press"
"The Vampire Book: The Encyclopedia of the Undead","J. Gordon Melton","1994","Mint Pub"
"An Angel to Watch over Me: True Stories of Children\'s Encounters With Angels","Joan Wester Anderson","1994","Ballantine Books"
"2001: A Space Odyssey","Arthur C. Clarke","2000","Roc"
"Tonio Kroeger Mario Und Der Zauberer","Thomas Mann","1996","Fischer Taschenbuch Verlag"
"Fatal Flaw","William Lashner","2003","HarperAudio"
"Great Dames: What I Learned from Older Women","Marie Brenner","2000","Crown Publishing Group (NY)"
"Resurrection: The Vampire Legacy","Karen E. Taylor","2002","Kensington Publishing Corporation"
"Agatha Christie: An Autobiography","Agatha Christie","1986","Ballantine Books"
"The Edge of Sleep","David Wiltse","1994","Mandarin"
"Rabbit Redux","John Updike","1996","Ballantine Books"
"Of Love and Shadows","Isabel Allende","1988","Bantam Books"
"A Orillas de Rio Piedra Me Sente y Llore","Paulo Coelho","1996","Rayo"
"Baghdad Without a Map: And Other Misadventures in Arabia","Tony Horwitz","1992","Plume Books"
"Animal Farm","George Orwell","1986","New Amer Library Classics (Mm)"
"Einstein\'s Unfinished Symphony: Listening to the Sounds of Space-Time","Marcia Bartusiak","2003","Berkley Publishing Group"
"The Phantom of Manhattan","Frederick Forsyth","1999","St Martins Pr"
"Affinity","J. N. Williamson","2001","Leisure Books"
"The Sexual Life of Catherine M.","Catherine Millet","2002","Consortium Book Sales &amp; Dist"
"The Search for Signs of Intelligent Life in the Universe","Jane Wagner","1991","Perennial Currents"
"With A Southern Touch","Diana Palmer","2002","Mira"
"Something Dangerous","Patrick Redmond","1999","Hyperion"
"100 Hair Raising Little Horror Stories","Al Sarrantonio","1993","Barnes Noble Books"
"Mr. Palomar","Italo Calvino","1986","Harvest Books"
"The Tomb and Other Tales","Howard Phillips Lovecraft","1981","Del Rey Books"
"Somewhere Off the Coast of Maine","Ann Hood","1998","Picador USA"
"Breaking Free from Compulsive Eating","Geneen Roth","1993","Plume Books"
"Before He Wakes: A True Story of Money, Marriage, Sex, and Murder","Jerry Bledsoe","1996","Onyx Books"
"The Man With a Load of Mischief","Martha Grimes","1991","Dell Publishing Company"
"Bookends","Jane Green","2002","Broadway Books"
"A Place Called Freedom","Ken Follett","1996","Fawcett Books"
"Mistress of Justice","Jeffery Deaver","1993","Bantam"
"Get Your Act Together!: A 7-Day Get-Organized Program for the Overworked, Overbooked, and Overwhelmed","Pam Young","1993","Perennial"
"Shadow Walker","Connie Mason","1997","Leisure Books"
"Return to the House of Usher","Robert Poe","1996","St Martins Pr"
"Guardias! Guardias?","Terry Pratchett","1999","Downtown Book Center"
"Once in a Lifetime","Danielle Steel","1983","Dell"
"The Duchess of Bloomsbury Street","Helene Hanff","1995","Moyer Bell Ltd."
"Sounder","William H. Armstrong","1969","HarperCollins"
"Signature Killers","Robert Keppel","1997","Pocket"
"Before and After","Govier","1989","Penguin USA"
"Nostradamus: Visions of the Future","J. H. Brennan","1992","Natl Book Network"
"Heart of Gold","Sharon Shinn","2000","Ace Books"
"Chocolate Jesus","Stephan Jaramillo","1998","Berkley Publishing Group"
"Dream of the Red Chamber","Hsueh Chin Tsao","1996","Heian International"
"A Moveable Feast","Ernest Hemingway","1996","Scribner"
"Fiona Range","Mary McGarry Morris","2000","Viking Books"
"Kingdom of Cages","Sarah Zettel","2002","Aspect"
"Losing Faith in Faith: From Preacher to Atheist","Dan Barker","1992","Freedom from Religion Foundation"
"El perfume","Patrick Suskind","1998","Booket"
"What You Wish for","Fern Michaels","2000","Brilliance Audio"
"Long Tall Texan Summer","Diana Palmer","1997","Silhouette"
"Death in Paradise","Robert B. Parker","2002","Berkley Publishing Group"
"Cleopatra Gold","William J. Caunitz","1993","Random House Inc"
"A Man to Slay Dragons","Meagan McKinney","1996","Zebra Books"
"Der Regenmacher.","John Grisham","1996","Hoffmann &amp; Campe"
"Midsummer Nights Dream","William Shakespeare","1983","Pocket Books"
"Swiss Family Robinson","Johann David Wyss","1999","Landoll"
"Skyhook","John J. Nance","2003","Jove Pubns"
"Season of Passion","Danielle Steel","1980","Dell"
"Divided in Death","J. D. Robb","2004","Putnam Publishing Group"
"Lo\'s Diary","Pia Pera","1999","Foxrock Books"
"The Corrections","Jonathan Franzen","2002","St Martins Pr"
"At Close Quarters","Gerald Seymour","1988","HarperCollins Publishers"
"Cold Day in July","Stella Cameron","2002","Dafina Books"
"Brazzaville Beach","William Boyd","1992","Harper Mass Market Paperbacks"
"An American Childhood","Annie Dillard","1987","Harpercollins"
"I\'d Rather Be in Philadelphia: An Amanda Pepper Mystery","Gillian Roberts","1992","Ballantine Books"
"The Lost World: Jurassic Park","Don McGregor","1997","Titan Books"
"The Office Oracle: Wisdom at Work","Patricia Monaghan","1999","Llewellyn Pubns"
"Appetites: Why Women Want","Caroline Knapp","2003","Counterpoint Press"
"Heartbeat","Danielle Steel","1992","Dell"
"Finding Moon","Tony Hillerman","1996","HarperTorch"
"Shadow of Doubt","Linda Morelli","2002","Port Town Publishing"
"In Dark Places","Michael Prescott","2004","Onyx Books"
"Old Man and the Sea","Ernest Hemingway","1981","Simon Schuster Trade"
"Collected Fictions","Jorge Luis Borges","1999","Penguin Books"
"The Journeys of Frodo","Barbara Strachey","1992","HarperCollins"
"Beyond Seduction","Emma Holly","2002","Jove Books"
"Farriers\' Lane","Anne Perry","1994","Fawcett Books"
"Utz","Bruce Chatwin","0","Fischer Taschenbuch Verlag"
"El Secreto de La Diosa","Lorenzo Mediano","2003","Grijalbo"
"Mariette in Ecstasy","Ron Hansen","1992","Perennial"
"Life\'s Little Instruction Book; Volume II","H. Jackson Brown","1993","Thomas Nelson Inc"
"A Good Scent from a Strange Mountain: Stories","Robert Olen Butler","1993","Penguin Books"
"Field of Thirteen","Dick Francis","1999","Jove Books"
"Halloween Party","Agatha Christie","0","Pocket Books"
"The Stories of Eva Luna","Isabel Allende","2001","Scribner"
"Der Goldene Kompass / The Golden Compass","Philip Pullman","2002","Distribooks"
"Worst Fears Realized","Stuart Woods","2000","HarperTorch"
"The Journals of Eleanor Druse: My Investigation of the Kingdom Hospital Incident","Eleanor Druse","2004","Hyperion"
"Reasons to Be Cheerful","Mark Steel","2001","Simon &amp; Schuster (Trade Division)"
"The Silver Palate Cookbook","Julee Rosso","1982","Workman Publishing"
"Godel, Escher, Bach: An Eternal Golden Braid","Douglas R. Hofstadter","1980","Vintage Books USA"
"Along Came a Spider","Athena Alexis","1991","Dell Publishing Company"
"Free Prize Inside: The Next Big Marketing Idea","Seth Godin","2004","Portfolio"
"Trading Up","Candace Bushnell","2003","Hyperion Books"
"The French Mathematician","Tom Petsinis","1998","Walker &amp; Company"
"Cruel Sacrifice","Aphrodite Jones","1997","Pls Check Notes Field"
"Dracula in London","P. N. Elrod","2001","Ace Books"
"30-Minute Meals","Susan Brown Draudt","1984","Berkley Pub Group"
"Medusa\'s Child","John J. Nance","1997","Bantam Dell Pub Group"
"What\'s So Amazing About Grace?","Philip Yancey","2002","Zondervan Publishing Company"
"Dogs That Know When Their Owners Are Coming Home: And Other Unexplained Powers of Animals","Rupert Sheldrake","2000","Three Rivers Press (CA)"
"Fade to Black","Wendy Corsi Staub","2002","Pinnacle Books"
"Publication Manual of the American Psychological Association, Fifth Edition","American Psychological Association","2001","American Psychological Association (APA)"
"Night of the Hawk","Dale Brown","1993","Berkley Publishing Group"
"Stealing Beauty","Susan Minot","1996","Grove Press"
"White Shark","Peter Benchley","2002","Random House Audio Publishing Group"
"Are You Experienced?","William Sutcliffe","1999","Viking Penguin Inc"
"The Last Sanctuary","Craig Holden","1996","Bantam Dell Pub Group"
"Amarantha","Melanie Jackson","2001","Leisure Books"
"Thunder Point","Jack Higgins","1994","Berkley Publishing Group"
"Affliction","Russell Banks","1990","Perennial"
"Confessions of a Failed Southern Lady","Florence King","1985","Bantam Books"
"Marilyn\'s almost terminal New York adventure","Justine Ettler","1996","Picador"
"What You Wish for","Fern Michaels","2000","Kensington Publishing Corp."
"Mr. Macgregor","Alan Titchmarsh","1999","Simon &amp; Schuster (Trade Division)"
"His Dark Materials Trilogy: The Golden Compass / The Subtle Knife / The Amber Spyglass","Philip Pullman","2001","Del Rey Books"
"Debt of Honor","Tom Clancy","1994","Putnam Publishing Group"
"The Queen and I","Sue Townsend","1994","Soho"
"The Discworld Companion","Stephen Briggs","1997","Books Britain"
"Possessing the Secret of Joy","Alice Walker","1997","Washington Square Press"
"The Last Sanctuary","Craig Holden","1998","Bantam Dell Pub Group"
"Driving Force","Dick Francis","1992","Michael Joseph"
"The Hundred and One Dalmatians","Dodie Smith","1989","Penguin Putnam Books for Young Readers"
"Sea Room: An Island Life in the Hebrides","Adam Nicolson","2003","North Point Press"
"Small Vices","Robert B. Parker","1997","Putnam Pub Group"
"Sasso","James Sturz","2002","Walker &amp; Company"
"Kings of Albion","Julian Rathbone","2001","Abacus"
"Dinofours:  It\'s Fall!","Steve Metzger","2000","Scholastic"
"The Wilder Sisters","Jo-Ann Mapson","2000","Perennial"
"American Pastoral","Philip Roth","1997","Houghton Mifflin Company"
"Parable of the Sower","Octavia E. Butler","1995","Warner Books"
"Wenn ein Reisender in einer Winternacht.","Italo Calvino","1999","Dtv"
"Les Nuits Fauves/Savage Nights","Collard","1994","Distribooks Inc"
"Home Before Dark","Susan Wiggs","2003","Mira Books"
"Weird but True: A Cartoon Encyclopedia of Incredibly Strange Things","Janet Goldenberg","1997","Harpercollins Juvenile Books"
"Four Corners of Night","Craig Holden","1998","Bantam Dell Pub Group"
"Hotel New Hampshire","John Irving","1983","Dutton"
"The Secret Life of Bees","Sue Monk Kidd","2003","Penguin Books"
"Piranha to Scurfy: And Other Stories","Ruth Rendell","2001","Crown Publishing Group (NY)"
"Power vs. Force: The Hidden Determinants of Human Behavior","David R. Hawkins","2002","Hay House"
"The Burning City","Larry Niven","2001","Pocket"
"The Years of Rice and Salt","Kim Stanley Robinson","2003","Spectra Books"
"Island of the Sequined Love Nun","Christopher Moore","2004","Perennial"
"L Is for Lawless","Sue Grafton","1996","Fawcett Books"
"Cause Celeb","Helen Fielding","2001","Viking Books"
"Flight Lessons","Patricia Gaffney","2002","HarperLargePrint"
"Cloak of Darkness","Ann Brahms","1992","Zebra Books"
"Ranch of Dreams: The Heartwarming Story of America\'s Most Unusual Animal Sanctuary","Cleveland Amory","1997","Viking Books"
"Finn Mac Cool","Morgan Llywelyn","1995","Tor Books (Mm)"
"Bold Wolf","Cassie Edwards","1998","Topaz"
"Complicity","Iain Banks","0","Firebird Distributing"
"Die Brautjungfer. Roman.","Ruth Rendell","1992","Goldmann"
"Mistress of the Empire","Raymond E. Feist","1992","Doubleday Books"
"Lucky You","Carl Hiaasen","1997","Random House Inc"
"Tempest in Eden","Sandra Brown","1996","Warner Books"
"The Making of The African Queen","Katharine Hepburn","1987","Random House Inc"
"Rush Limbaugh Is a Big Fat Idiot: And Other Observations","Al Franken","1996","Delacorte Press"
"The King of Torts","John Grisham","2003","Doubleday Books"
"Zuflucht im Teehaus. Roman.","Sujata Massey","2003","Piper"
"Dry: A Memoir","Augusten Burroughs","2003","St. Martin\'s Press"
"The Undiscovered Country","Samantha Gillison","1998","Pub Group West"
"Island of the Aunts","Eva Ibbotson","2001","Puffin Books"
"Step-Ball-Change","Jeanne Ray","2004","New American Library"
"Der Besuch des Leibarztes.","Per Olov Enquist","2003","Fischer (Tb.), Frankfurt"
"From Beginning to End: The Rituals of Our Lives","Robert Fulghum","1995","Random House Inc"
"Snapshot/a Carlotta Carlyle Novel","Linda Barnes","1994","Dell Publishing Company"
"The Language of Life: A Festival of Poets","Bill D. Moyers","1995","Bantam Dell Pub Group"
"Star Called Henry","Roddy Doyle","0","Trafalgar Square"
"Restoree","Anne McCaffrey","1976","Corgi"
"Silhouette In Scarlet: A Vicky Bliss Mystery","Elizabeth Peters","2000","Avon"
"River\'s End","Nora Roberts","2003","Jove Books"
"Still Me","Christopher Reeve","1999","Ballantine Books"
"King\'s Oak","Anne Rivers Siddons","1990","Harpercollins"
"Moments of Truth","Jan Carlzon","1989","Perennial Currents"
"Lady Whistledown Strikes Back","Julia Quinn","2004","Avon"
"The Colour of Heaven","James Runcie","2003","HarperCollins"
"Going to Extremes","Joe McGinniss","1989","Plume Books"
"Bitter Instinct","Robert W. Walker","2001","Berkley Publishing Group"
"Swan Song","Edmund Crispin","1980","Walker &amp; Co"
"To Say Nothing of the Dog","Connie Willis","1998","Bantam"
"Star Wars: Shadows of the Empire","Steve Perry","1998","Spectra Books"
"Mister King","Raija Siekkinen","1987","Lerner Pubns Co"
"Faster: The Acceleration of Just About Everything","James Gleick","1999","Random House Inc"
"Flipped","Wendelin Van Draanen","2001","Alfred A. Knopf"
"Otherwise Engaged","Laura Young","2004","Overmountain Press"
"Der Klient.","John Grisham","1995","Heyne"
"The Number of the Beast","Robert Heinlein","1989","Fawcett Books"
"Technotrends: How to Use Technology to Go Beyond Your Competition","Daniel Burrus","1994","HarperBusiness"
"Solitaire Mystery","Jostein Gaarder","1997","Berkley Publishing Group"
"Denn am Sabbat sollst du ruhen. Roman.","Batya Gur","1994","Goldmann"
"Afterburn","Colin Harrison","2000","Farrar Straus Giroux"
"The Perfect Mistress","Betina M. Krahn","1995","Bantam Books"
"The Eighth Commandment","Lawrence Sanders","1986","Putnam Pub Group"
"Intercambios","David Lodge","2003","Anagrama"
"La Joueuse de go","Shan Sa","2001","Grasset"
"Like Normal People","Karen Bender","2001","Mariner Books"
"All Things Wise and Wonderful","James Herriot","1977","St. Martin\'s Press"
"Circle of Stars","Anna Lee Waldo","2002","St. Martin\'s Paperbacks"
"Awaken the Giant Within: How to Take Immediate Control of Your Mental, Emotional, Physical, and Financial","Anthony Robbins","1992","Free Press"
"Turtle Moon","Alice Hoffman","1993","Berkley Publishing Group"
"The New Basics Cookbook","Julee Rosso","1989","Workman Publishing"
"Geschichte machen.","Stephen Fry","1999","Rowohlt Tb."
"Roc and a Hard Place","Piers Anthony","1996","Tor Fantasy"
"The Smoke Jumper","Nicholas Evans","2001","Bantam Press"
"Mother\'s Boys","Bernard Taylor","1993","St Martins Pr"
"The Butcher\'s Theater","Jonathan Kellerman","1989","Bantam Books"
"How to Knit - The Definitive Knitting Course Complete with Step-by-Step Techniques, Stitch Library and Projects for Your Home and Family","Debbie Bliss","1999","Trafalgar Square"
"Born Bad","Barry Hoffman","2000","Leisure Books"
"Smack","Melvin Burgess","2003","Avon"
"Goodbye Tsugumi","Banana Yoshimoto","2003","Grove Press"
"Heat and Dust","Ruth Prawer Jhabvala","1992","Time Warner Books UK"
"Black Sand","William J. Caunitz","1990","Bantam Books"
"Blackberry Wine","Joanne Harris","2000","Doubleday"
"The Merry Devils","Edward Marston","2001","Poisoned Pen Press"
"Hard Rain","Barry Eisler","2004","Signet Book"
"A New Path to the Waterfall","Raymond Carver","1990","Atlantic Monthly Press"
"Too Good to Be True","Kasey Michaels","2001","Zebra Books"
